0,1,2,3,4,5,6
番号,基準点コード,局名称,県名,施設名,受信機名,アンテナ名
21014,EL05334213503,鳥取,鳥取県,鳥取市立賀露小学校,TRIMBLE NETR9,TRM59800.80 GSI
21015,EL05333230901,名和,鳥取県,大山町立名和中学校,TOPCON NETG5,TRM59800.80 GSI
21016,EL05333169902,羽合,鳥取県,湯梨浜町立羽合西小学校,TOPCON NETG5,TRM59800.80 GSI
21017,EL05334010201,佐治,鳥取県,鳥取市立佐治中学校,TOPCON NETG5,TRM59800.80 GSI
21018,EL05332179301,松江２,島根県,松江市立大野小学校,TRIMBLE ALLOY,TRM59800.80 GSI
21019,EL05233717502,広瀬,島根県,宇波交流センター（旧宇波小学校）,TRIMBLE ALLOY,TRM59800.80 GSI
21020,EL05232777203,木次,島根県,雲南市立斐伊小学校,TRIMBLE NETR9,TRM59800.80 GSI
21021,EL05232657301,佐田,島根県,出雲市立窪田小学校,TOPCON NETG5,TRM59800.80 GSI
21022,EL05232433002,温泉津,島根県,大田市立井田小学校,TOPCON NETG5,TRM59800.80 GSI
21023,EL05232252401,羽須美,島根県,羽須美村運動広場,TRIMBLE ALLOY,TRM59800.80 GSI
21024,EL05232103802,弥栄,島根県,浜田市営運動公園ゲートボール場,TOPCON NETG5,TRM59800.80 GSI
21025,EL05131764402,益田,島根県,益田市立西益田小学校,TOPCON NETG5,TRM59800.80 GSI
21026,EL05233753401,八束,岡山県,真庭市中学校組合立蒜山中学校,TOPCON NETG5,TRM59800.80 GSI
21027,EL05233572301,鏡野,岡山県,鏡野町民グラウンド(サブグラウンド),TOPCON NETG5,TRM59800.80 GSI
21028,EL05233068402,岡山１,岡山県,岡山市立大井小学校,TRIMBLE ALLOY,TRM59800.80 GSI
21029,EL05133770701,岡山２,岡山県,岡山市立甲浦小学校,TOPCON NETG5,TRM59800.80 GSI
21030,EL05232474202,広島高野,広島県,庄原市立高野中学校,TRIMBLE ALLOY,TRM59800.80 GSI
21031,EL05132776203,世羅西,広島県,世羅町立世羅西中学校,TRIMBLE NETR9,TRM59800.80 GSI
21032,EL05133723702,広島福山２,広島県,福山市立広瀬中学校,TRIMBLE ALLOY,TRM159900.00 GSI
21033,EL05133611102,御調,広島県,尾道市立御調中学校,TRIMBLE ALLOY,TRM59800.80 GSI
21034,EL05132558201,東広島,広島県,東広島市立志和中学校,5700,TRM29659.00
21035,EL05132252501,蒲刈,広島県,呉市立蒲刈中学校,TRIMBLE ALLOY,TRM59800.80 GSI
21036,EL05132048201,倉橋,広島県,鹿島社会教育施設（倉橋町立鹿島小学校跡地）,TOPCON NETG5,TRM59800.80 GSI
21037,EL05131253802,徳地,山口県,山口市立串小学校,TRIMBLE ALLOY,TRM59800.80 GSI
21038,EL05132100402,周東,山口県,岩国市立高森小学校,TOPCON NETG5,TRM59800.80 GSI
21039,EL05131002902,山陽,山口県,山陽町立津布田小学校,TRIMBLE NETR9,TRM59800.80 GSI
21040,EL05032601901,上関,山口県,上関町民グランド,TOPCON NETG5,TRM59800.80 GSI
21041,EL05034739601,佐那河内,徳島県,佐那河内村立佐那河内中学校,TRIMBLE NETR9,TRM59800.80 GSI
21042,EL05034712601,木屋平,徳島県,美馬市立木屋平中学校,TRIMBLE ALLOY,TRM59800.80 GSI
21043,EL05033674301,東祖谷山,徳島県,三好市立東祖谷中学校,5700,TRM29659.00
21044,EL05134517402,土庄,香川県,高見山公園,TOPCON NETG5,TRM159900.00 GSI
21045,EL05133379101,坂出,香川県,坂出市立白峰中学校,TRIMBLE ALLOY,TRM59800.80 GSI
21046,EL05033726802,新居浜,愛媛県,新居浜市立多喜浜小学校,TRIMBLE ALLOY,TRM59800.80 GSI
21047,EL05033606302,丹原,愛媛県,西条市丹原文化会館,TRIMBLE ALLOY,TRM159900.00 GSI
21048,EL05032367302,広田,愛媛県,神の森公園,TRIMBLE ALLOY,TRM59800.80 GSI
21049,EL04932756903,広見,愛媛県,鬼北町立三島小学校,TRIMBLE NETR9,TRM59800.80 GSI
21050,EL04932551002,津島,愛媛県,宇和島市立御槙小学校,TRIMBLE ALLOY,TRM59800.80 GSI
21051,EL05033345201,土佐山,高知県,土佐山運動広場,TOPCON NETG5,TRM59800.80 GSI
21052,EL05033312202,池川,高知県,仁淀川町池川自然学園,TRIMBLE ALLOY,TRM59800.80 GSI
21053,EL05034109701,高知北川,高知県,北川村立小島小学校跡地,TRIMBLE NETR9,TRM59800.80 GSI
21054,EL05033009701,東津野,高知県,津野町立船戸小学校,TOPCON NETG5,TRM59800.80 GSI
21055,EL05034017601,室戸２,高知県,室戸市佐喜浜出張所,TRIMBLE ALLOY,TRM59800.80 GSI
21056,EL04932673702,大正,高知県,四万十町立田野々小学校,TRIMBLE NETR9,TRM59800.80 GSI
21057,EL04933409802,高知佐賀,高知県,黒潮町立佐賀小学校,5700,TRM29659.00
21058,EL04932365602,中村,高知県,四万十市立中筋小学校,TRIMBLE ALLOY,TRM59800.80 GSI
21059,EL04932048401,宿毛,高知県,宿毛市立沖の島小中学校,TRIMBLE ALLOY,TRM59800.80 GSI
21060,EL05030751701,北九州１,福岡県,北九州市立花房小学校安屋分校,TRIMBLE ALLOY,TRM59800.80 GSI
21061,EL05030674701,北九州２,福岡県,北九州市立松ケ江南小学校,TOPCON NETG5,TRM159900.00 GSI
21062,EL05030421301,福岡,福岡県,勝馬公園,TRIMBLE NETR9,TPSCR.G5 GSI
21063,EL05030259402,桂川,福岡県,桂川町立桂川小学校,TRIMBLE NETR9,TPSCR.G5 GSI
21064,EL05030277901,築城,福岡県,築上町立寒田小学校,TRIMBLE ALLOY,TRM59800.80 GSI
21065,EL05030200602,二丈,福岡県,二丈町立福吉小学校,TRIMBLE ALLOY,TRM59800.80 GSI
21066,EL04930705701,多久,佐賀県,多久市立緑が丘小学校,TRIMBLE NETR9,TRM59800.80 GSI
21067,EL04929468902,川棚,長崎県,川棚町立川棚小学校,TRIMBLE NETR9,TRM59800.80 GSI
21068,EL04929172602,長崎２,長崎県,長崎市立橘小学校,TRIMBLE ALLOY,TRM59800.80 GSI
21069,EL04930447902,三加和,熊本県,和水町立三加和中学校,TRIMBLE NETR9,TRM59800.80 GSI
21070,EL04930369902,菊池,熊本県,菊池市立水源小学校,TRIMBLE ALLOY,TRM159900.00 GSI
21071,EL04930055901,城南,熊本県,城南町Ｂ＆Ｇ海洋センター,TOPCON NETG5,TRM59800.80 GSI
21072,EL04930071802,矢部,熊本県,山都町立矢部小学校,5700,TRM29659.00
21073,EL04830467601,五木,熊本県,ゲートボール場,TRIMBLE ALLOY,TRM59800.80 GSI
21074,EL04830414401,新和,熊本県,天草市立新和中学校,TRIMBLE NETR9,TRM59800.80 GSI
21075,EL04830451201,球磨,熊本県,球磨村公民館川島分館,TOPCON NETG5,TRM59800.80 GSI
21076,EL04830375802,熊本水上,熊本県,水上村立岩野小学校,TOPCON NETG5,TRM59800.80 GSI
21077,EL05031241102,豊後高田,大分県,豊後高田市立田染小学校,TRIMBLE NETR9,TPSCR.G5 GSI
21078,EL05031026302,院内,大分県,宇佐市立南部小学校,TRIMBLE ALLOY,TRM59800.80 GSI
21079,EL04931551902,臼杵,大分県,臼杵市立南中学校,TRIMBLE NETR9,TPSCR.G5 GSI
21080,EL04932302302,米水津,大分県,海辺の村交流館(旧間越分校),TOPCON NETG5,TPSCR.G5 GSI
21081,EL04931237501,緒方,大分県,豊後大野市立長谷川集会所,TRIMBLE NETR9,TPSCR.G5 GSI
21082,EL04931252001,宇目,大分県,ふれあいセンター宇目,TRIMBLE ALLOY,TPSCR.G5 GSI
21083,EL04831623901,諸塚,宮崎県,池の窪グリーンパーク,TRIMBLE ALLOY,TRM59800.80 GSI
21084,EL04831347602,東郷,宮崎県,市営住宅寺迫団地,TRIMBLE NETR9,TRM59800.80 GSI
21085,EL04831123702,西都,宮崎県,西都市立三納中学校,TRIMBLE ALLOY,TRM59800.80 GSI
21086,EL04831020002,綾,宮崎県,綾町立綾中学校,TRIMBLE ALLOY,TRM59800.80 GSI
21087,EL04730675801,都城２,宮崎県,宮崎県御池少年自然の家,TRIMBLE ALLOY,TRM59800.80 GSI
21088,EL04731534701,宮崎,宮崎県,宮崎市立青島中学校,TRIMBLE ALLOY,TRM59800.80 GSI
21089,EL04730459801,隼人,鹿児島県,霧島市隼人体育館,TOPCON NETG5,TRM59800.80 GSI
